uniprot_id,gene,length,llps_score,prediction,in_training
A0A2R8Y4L2,HNRNPA1L3,320,0.9581,LLPS+,novel
P61962,DCAF7,342,0.9113,LLPS+,novel
P61968,LMO4,165,0.9046,LLPS+,novel
P09630,HOXC6,235,0.901,LLPS+,novel
P62633,CNBP,177,0.8909,LLPS+,novel
A0A1W2PR48,TLE7,441,0.8889,LLPS+,novel
A0A1W2PPF3,DUXB,345,0.8789,LLPS+,novel
P07316,CRYGB,175,0.8725,LLPS+,novel
P62068,USP46,366,0.8509,LLPS+,novel
P62487,POLR2G,172,0.8438,LLPS+,novel
P62081,RPS7,194,0.8203,LLPS+,novel
P62308,SNRPG,76,0.8201,LLPS+,novel
A0A3B3IT33,TRIM51G,452,0.8098,LLPS+,novel
A0A8I5KY20,CCDC92B,255,0.8068,LLPS+,novel
A0A1W2PPK0,CPHXL2,400,0.7963,LLPS+,novel
A0A3B3IT52,MSANTD5,213,0.7953,LLPS+,novel
Q53H64,ANKRD40CL,114,0.7732,LLPS+,novel
P62310,LSM3,102,0.7651,LLPS+,novel
A0A1W2PQ73,ERFL,354,0.765,LLPS+,novel
A0A1W2PRP0,FOXL3,233,0.7634,LLPS+,novel
A0A5F9ZHS7,NFILZ,289,0.7611,LLPS+,novel
P62304,SNRPE,92,0.7601,LLPS+,novel
P62380,TBPL1,186,0.754,LLPS+,novel
P61956,SUMO2,95,0.753,LLPS+,novel
A0A1W2PQ72,MSANTD7,361,0.7426,LLPS+,novel
A0A1W2PQL4,ZNF722,384,0.7378,LLPS+,novel
P62244,RPS15A,130,0.7345,LLPS+,novel
P62249,RPS16,146,0.6966,LLPS+,novel
A1A4G5,LNP1,178,0.683,LLPS+,novel
P62136,PPP1CA,330,0.6668,LLPS+,novel
P62318,SNRPD3,126,0.6642,LLPS+,novel
A0A286YF58,TMEM271,385,0.6547,LLPS+,novel
P13985,HRES1,223,0.6538,LLPS+,novel
Q8NGU9,GPR150,434,0.6484,LLPS+,novel
P62316,SNRPD2,118,0.642,LLPS+,novel
Q2M2D7,TBC1D28,210,0.6417,LLPS+,novel
P59020,DSCR9,149,0.631,LLPS+,novel
A0A1W2PR95,IGBP1C,340,0.6298,LLPS+,novel
A6NF36,CCDC182,153,0.6259,LLPS+,novel
P01189,POMC,267,0.625,LLPS+,novel
A6NJI9,LRRC72,287,0.6225,LLPS+,novel
P62191,PSMC1,440,0.6182,LLPS+,novel
P62736,ACTA2,377,0.6106,LLPS+,novel
P62195,PSMC5,406,0.5916,LLPS+,novel
P62140,PPP1CB,327,0.5853,LLPS+,novel
A1L162,ERICH2,156,0.5837,LLPS+,novel
Q6ZMV7,LEKR1,132,0.5816,LLPS+,novel
P62258,YWHAE,255,0.5784,LLPS+,novel
Q14695,KIAA0087,138,0.5765,LLPS+,novel
P62256,UBE2H,183,0.5739,LLPS+,novel
A0A7I2V3R4,RNF228,345,0.5639,LLPS+,novel
A4D250,BLACE,179,0.5623,LLPS+,novel
P01344,IGF2,180,0.5587,LLPS+,novel
P01350,GAST,101,0.5568,LLPS+,novel
A0PJX8,TMEM82,343,0.552,LLPS+,novel
P01213,PDYN,254,0.5333,LLPS+,novel
P62253,UBE2G1,170,0.5325,LLPS+,novel
P62508,ESRRG,458,0.527,LLPS+,novel
Q8N8V8,TMEM105,129,0.522,LLPS+,novel
P0DXC3,NPIPA6,369,0.5212,LLPS+,novel
P01185,AVP,164,0.5182,LLPS+,novel
P01258,CALCA,141,0.5168,LLPS+,novel
P62745,RHOB,196,0.5092,LLPS+,novel
P01374,LTA,205,0.5084,LLPS+,novel
P01236,PRL,227,0.5044,LLPS+,novel
P62333,PSMC6,389,0.5014,LLPS+,novel
P62424,RPL7A,266,0.5,LLPS+,novel
